# IndexValue_NDXT, Volume_GOOGL,Volume_AAPL,CPI,High_GOOGL,High_AAPL, NetChange_NDXT, High_NDXT, Low_NDXT, Close/Last_GOOGL, Open_GOOGL, Low_GOOGL, Close/Last_AAPL, Open_AAPL, Low_AAPL
2.370959484654197695e+03,3.557642945162997395e+07,1.967336273241926432e+08,2.380135970739262063e+02,2.731959469257235185e+01,3.154901192507423957e+01,8.367091661104772982e-01,2.379468923170441485e+03,2.363401695644756273e+03,2.709120014365582563e+01,3.127562526428597778e+01,2.670068015363956704e+01,3.154901192507423957e+01,3.127562526428597778e+01,3.113743662543701873e+01
2.393669403360673641e+03,3.456264140370954573e+07,2.366279782311516702e+08,2.380552467627966848e+02,2.762336323760318635e+01,3.198257905516349808e+01,-9.789952431124397947e-01,2.403179351387943825e+03,2.384513956965234229e+03,2.741444015061694017e+01,3.178136245511153390e+01,2.752478824105065769e+01,3.198257905516349808e+01,3.178136245511153390e+01,3.160453158817765029e+01
2.390429814187896227e+03,2.704772115384702384e+07,1.856797300140554905e+08,2.380968964516672486e+02,2.766881860514546077e+01,3.186364873881473159e+01,3.473377206597220379e+00,2.398881142926272332e+03,2.387385851647999516e+03,2.726587953722416557e+01,3.189741967669293388e+01,2.726528054097904885e+01,3.186364873881473159e+01,3.189741967669293388e+01,3.139404454453101323e+01
2.371133040759079449e+03,3.340931672785967961e+07,2.017601814651338458e+08,2.381385461405376986e+02,2.718146023026066871e+01,3.169013904611225030e+01,-6.968508653364420269e-01,2.383160016183983771e+03,2.353273120027155528e+03,2.697925330368637731e+01,3.130220119264623690e+01,2.667921707474879156e+01,3.169013904611225030e+01,3.130220119264623690e+01,3.108433882239970103e+01
2.384908805261160524e+03,2.698355770285728201e+07,1.610833358355555236e+08,2.381801958294082908e+02,2.711107548872691098e+01,3.182252372056946399e+01,1.306630152580259718e+00,2.397123200269318204e+03,2.381165116045868672e+03,2.698763216203934689e+01,3.148954571647770706e+01,2.700142987404959172e+01,3.182252372056946399e+01,3.148954571647770706e+01,3.153409028234963785e+01
2.423044068686985611e+03,3.385362452050469816e+07,1.907109489813805819e+08,2.382218455182787125e+02,2.749172858574915779e+01,3.230219440250496632e+01,-8.330831136002601056e-01,2.427618173385033515e+03,2.406426437194316350e+03,2.735135776846492206e+01,3.197260542888417945e+01,2.713924191666654906e+01,3.230219440250496632e+01,3.197260542888417945e+01,3.181973255505032228e+01
2.416955621303950466e+03,3.446897101132930815e+07,1.637985865722664595e+08,2.382634952071492194e+02,2.763370675124883746e+01,3.236875059667447374e+01,3.542810983817844317e+00,2.429434873444605728e+03,2.409621538809074991e+03,2.734195216919930260e+01,3.232261354660630559e+01,2.713824715087356765e+01,3.236875059667447374e+01,3.232261354660630559e+01,3.203967663256720755e+01
2.427547191362747071e+03,3.365654283229850978e+07,2.002206056639857888e+08,2.383051448960197831e+02,2.739799136562614024e+01,3.269920598362001840e+01,1.360662904357923253e-02,2.426492864085017573e+03,2.409272655530327484e+03,2.731170646854621964e+01,3.205945083745289992e+01,2.716409228069227311e+01,3.269920598362001840e+01,3.205945083745289992e+01,3.201094349676726836e+01
2.413488535541368037e+03,4.194052196195408702e+07,1.750398242142882049e+08,2.383467945848902900e+02,2.759930078703833090e+01,3.271417260948106787e+01,2.472748116917681926e+00,2.435467103893692183e+03,2.411782132124414602e+03,2.751565605549548366e+01,3.256109663563427148e+01,2.740966897007145775e+01,3.271417260948106787e+01,3.256109663563427148e+01,3.247098208982585277e+01
2.416885795891419093e+03,3.202711528567856923e+07,1.643020167913839817e+08,2.383884442737607969e+02,2.782782348183918941e+01,3.275334308867701338e+01,1.690618072050085630e+00,2.431654991475251336e+03,2.409480889358132117e+03,2.757831883562565167e+01,3.256457350267496054e+01,2.720437073673512174e+01,3.275334308867701338e+01,3.256457350267496054e+01,3.237973955320561004e+01
