,Date,last_20_pred
223,2017-08-24,3495.96967941187
224,2017-08-28,3499.58091563009
225,2017-09-01,3597.71888564568
226,2017-09-05,3558.78236903861
227,2017-09-09,3595.3797274139097
228,2017-09-13,3631.97708578921
229,2017-09-17,3635.24583742292
230,2017-09-21,3638.51458905663
231,2017-09-25,3605.67369187174
232,2017-09-29,3713.01473681495
233,2017-10-03,3732.00050506382
234,2017-10-07,3766.96770910854
235,2017-10-11,3801.93491315326
236,2017-10-15,3831.211147298455
237,2017-10-19,3860.48738144365
238,2017-10-23,3898.37245584808
239,2017-10-27,3936.77322647992
240,2017-10-31,3967.6749677877
241,2017-11-04,3996.20756371185
242,2017-11-08,4024.740159636
243,2017-11-12,4028.728409805705
244,2017-11-16,4032.71665997541
245,2017-11-20,4044.05223826848
246,2017-11-24,4094.04072065697
247,2017-11-28,4068.50485293641
248,2017-12-02,3968.761257275605
249,2017-12-06,3869.0176616148
250,2017-12-10,3893.49946329249
251,2017-12-14,3917.98126497018
252,2017-12-18,4011.94907286922
253,2017-12-22,3969.38097655565
254,2017-12-26,3943.70723868743
255,2017-12-30,3994.01629404531
256,2018-01-03,4044.32534940319
257,2018-01-07,4074.95434330058
258,2018-01-11,4105.58333719797
259,2018-01-15,4166.631484187839
260,2018-01-19,4227.67963117771
261,2018-01-23,4288.71474720927
262,2018-01-27,4258.05957544338
263,2018-01-31,4227.40440367749
264,2018-02-04,4016.0328178981154
265,2018-02-08,3804.66123211874
266,2018-02-12,3963.3458361902
267,2018-02-16,4131.97214309757
268,2018-02-20,4172.77695751091
269,2018-02-24,4192.077486166135
270,2018-02-28,4211.37801482136
271,2018-03-04,4293.926482223254
272,2018-03-08,4376.47494962515
273,2018-03-12,4496.58630857772
274,2018-03-16,4447.23764626444
275,2018-03-20,4377.72810672937
276,2018-03-24,4227.436249908855
277,2018-03-28,4077.14439308834
278,2018-04-01,4098.904348290985
279,2018-04-05,4120.66430349363
280,2018-04-09,4041.74162375638
281,2018-04-13,4173.62063278175
282,2018-04-17,4283.03900816782
283,2018-04-21,4156.54725052948
284,2018-04-25,4030.05549289114
285,2018-04-29,4068.4170175681543
286,2018-05-03,4106.77854224517
287,2018-05-07,4212.49338481602
288,2018-05-11,4290.40590213853
289,2018-05-15,4278.57208823268
290,2018-05-19,4286.747952245485
291,2018-05-23,4294.92381625829
292,2018-05-27,4288.698534943875
293,2018-05-31,4282.47325362946
294,2018-06-04,4393.70151434421
295,2018-06-08,4378.45406233011
296,2018-06-12,4406.4807095628
297,2018-06-16,4394.36392723952
298,2018-06-20,4382.24714491624
299,2018-06-24,4278.95150197789
300,2018-06-28,4175.65585903954
301,2018-07-02,4229.61876079338
302,2018-07-06,4303.97732643923
303,2018-07-10,4349.83887100792
304,2018-07-14,4389.613628174595
305,2018-07-18,4429.38838534127
306,2018-07-22,4426.23183509053
307,2018-07-26,4423.07528483979
308,2018-07-30,4300.52797857692
309,2018-08-03,4368.47985913366
310,2018-08-07,4404.07987931185
311,2018-08-11,4324.213098947876
312,2018-08-15,4244.3463185839
313,2018-08-19,4282.408578145335
314,2018-08-23,4320.47083770677
315,2018-08-27,4423.99721796757
316,2018-08-31,4422.30348765778
317,2018-09-04,4396.80358362606
318,2018-09-08,4319.26895163817
319,2018-09-12,4241.73431965028
320,2018-09-16,4287.273229798129
321,2018-09-20,4332.81213994598
322,2018-09-24,4329.0099753378
323,2018-09-28,4325.69319334275
324,2018-10-02,4310.79822537119
325,2018-10-06,4131.091843422965
326,2018-10-10,3951.38546147474
327,2018-10-14,3970.06091445834
328,2018-10-18,3988.73636744194
329,2018-10-22,3983.08247986181
330,2018-10-26,3792.57200706802
331,2018-10-30,3815.67444079416
332,2018-11-03,3950.721771561115
333,2018-11-07,4085.76910232807
334,2018-11-11,4039.72869339107
335,2018-11-15,3993.68828445407
336,2018-11-19,3826.70427982532
337,2018-11-23,3834.44164174169
338,2018-11-27,3908.73877284002
339,2018-12-01,3911.706034087785
340,2018-12-05,3914.67329533555
341,2018-12-09,3917.6405565833143
342,2018-12-13,3920.60781783108
343,2018-12-17,3754.22239465422
344,2018-12-21,3539.26301574999
345,2018-12-25,3602.3096395947964
346,2018-12-29,3665.356263439604
347,2019-01-02,3728.40288728441
348,2019-01-06,3802.7406721638754
349,2019-01-10,3877.07845704334
350,2019-01-14,3828.08745365142
351,2019-01-18,3971.49198413786
352,2019-01-22,3874.74118791025
353,2019-01-26,3987.07536895802
354,2019-01-30,4099.40955000579
355,2019-02-03,4167.04280591581
356,2019-02-07,4234.67606182583
357,2019-02-11,4248.12912538059
358,2019-02-15,4347.41992102174
359,2019-02-19,4345.74751407711
360,2019-02-23,4359.7136965542
361,2019-02-27,4373.67987903129
362,2019-03-03,4329.771022636714
363,2019-03-07,4285.86216624214
364,2019-03-11,4376.23837111785
365,2019-03-15,4470.38167834942
