Trade Date,Index Value,Net Change,High,Low
4/2/24,"10,348.48517825240",-115.21023804029,"10,361.97046474840","10,253.35430957340"
4/1/24,"10,463.69541629270",43.36628317875,"10,549.37988028620","10,422.84444411660"
3/28/24,"10,420.32913311390",-7.07225933821,"10,470.00754100270","10,402.60885976830"
3/27/24,"10,427.40139245210",53.75385567357,"10,465.76510434680","10,324.46113051040"
3/26/24,"10,373.64753677860",-14.57411871509,"10,467.22817974840","10,372.07374265450"
3/25/24,"10,388.22165549370",-55.95150996221,"10,441.82962797290","10,320.15112712450"
3/22/24,"10,444.17316545590",-28.26217309389,"10,491.34429967180","10,377.04658751800"
3/21/24,"10,472.43533854980",99.81619063801,"10,595.63875417500","10,465.00213851800"
3/20/24,"10,372.61914791170",148.05177698767,"10,390.13818587450","10,199.53701584090"
3/19/24,"10,224.56737092410",3.36060414744,"10,240.67929569820","10,067.27962225930"
3/18/24,"10,221.20676677660",74.21774637049,"10,301.50322559360","10,212.74104436200"
3/15/24,"10,146.98902040620",-151.43235851923,"10,242.53918711690","10,141.27979486830"
3/14/24,"10,298.42137892540",-93.44160957670,"10,418.42145977100","10,226.46490565460"
3/13/24,"10,391.86298850210",-138.48781793431,"10,475.08637736060","10,361.19396739120"
3/12/24,"10,530.35080643640",170.71211481940,"10,532.87577465790","10,337.08635191490"
3/11/24,"10,359.63869161700",-55.69089146969,"10,387.09608863640","10,254.67221765570"
3/8/24,"10,415.32958308670",-271.31884677440,"10,724.91949182630","10,408.53024355410"
3/7/24,"10,686.64842986110",211.10795959927,"10,719.26961035900","10,530.21650522590"
3/6/24,"10,475.54047026180",142.78032904641,"10,566.62708151860","10,407.91123272230"
3/5/24,"10,332.76014121540",-273.65534377326,"10,489.52184893750","10,255.24303439390"
3/4/24,"10,606.41548498870",0.18754186223,"10,670.76831329110","10,579.76883967660"
3/1/24,"10,606.22794312640",194.45008104243,"10,636.80874223130","10,422.44387812000"
2/29/24,"10,411.77786208400",154.20161297403,"10,427.28067490840","10,276.47857032470"
2/28/24,"10,257.57624911000",-89.93559837064,"10,295.94816752490","10,228.16458097180"
2/27/24,"10,347.51184748060",17.58921206591,"10,422.41498195700","10,315.00629714570"
2/26/24,"10,329.92263541470",64.20773839238,"10,389.42879254260","10,282.67117332540"
2/23/24,"10,265.71489702230",-40.46346965902,"10,384.92148705060","10,232.55664897890"
2/22/24,"10,306.17836668130",366.78446520246,"10,335.30261885030","10,217.74226024370"
2/21/24,"9,939.39390147888",-182.90378515959,"9,940.77419431075","9,826.78909696432"
2/20/24,"10,122.29768663850",-102.73424130979,"10,191.37011125900","9,987.28493451653"
2/16/24,"10,225.03192794830",-117.68993687820,"10,373.45564787060","10,201.88628262880"
2/15/24,"10,342.72186482650",-5.15137385998,"10,399.65429891190","10,287.50015431490"
2/14/24,"10,347.87323868640",193.36891487240,"10,351.11587775070","10,233.82320616430"
2/13/24,"10,154.50432381400",-217.20069816205,"10,259.56002851690","10,027.35969732660"
2/12/24,"10,371.70502197610",-63.41493620732,"10,506.30272939180","10,354.05458154720"
2/9/24,"10,435.11995818340",178.81542462256,"10,467.30877803230","10,304.27918612220"
2/8/24,"10,256.30453356080",111.28163326853,"10,296.26067989100","10,155.05759700840"
2/7/24,"10,145.02290029230",178.77108730231,"10,166.99763653700","10,016.58654056960"
2/6/24,"9,966.25181299001",-51.40900995971,"10,068.77945945660","9,866.78685629510"
2/5/24,"10,017.66082294970",-4.05512058138,"10,055.41975457630","9,910.21817282942"
2/2/24,"10,021.71594353110",132.85160110068,"10,044.39045797620","9,860.11338356043"
2/1/24,"9,888.86434243042",91.18564561417,"9,910.07774067398","9,782.08617949680"
1/31/24,"9,797.67869681625",-177.13701025602,"9,950.59332467239","9,758.06758474088"
1/30/24,"9,974.81570707227",-102.47379401333,"10,065.83107198040","9,943.26179035493"
1/29/24,"10,077.28950108560",129.58309515690,"10,077.90530186230","9,949.51915249013"
1/26/24,"9,947.70640592870",-144.64625083256,"10,038.89536512240","9,935.58809623642"
1/25/24,"10,092.35265676130",-10.77075732895,"10,236.41457990670","10,044.74619335520"
1/24/24,"10,103.12341409020",68.09640509744,"10,224.11573994290","10,086.79775326580"
1/23/24,"10,035.02700899280",40.42906790746,"10,040.71424501130","9,936.33444170155"
1/22/24,"9,994.59794108531",72.82535802922,"10,076.12146263630","9,957.44958015299"
1/19/24,"9,921.77258305609",262.80342459340,"9,923.77664443659","9,714.26937850193"
1/18/24,"9,658.96915846269",173.95479874692,"9,668.95941967748","9,548.19091858523"
1/17/24,"9,485.01435971577",-77.12664049688,"9,493.36158984878","9,335.31787634723"
1/16/24,"9,562.14100021265",27.96772946129,"9,607.20893826647","9,467.72679254239"
1/12/24,"9,534.17327075136",-4.88294564140,"9,601.13600180548","9,498.59769749339"
1/11/24,"9,539.05621639276",50.33616508984,"9,575.06384372815","9,389.30775568033"
1/10/24,"9,488.72005130292",57.44645684733,"9,512.88740072882","9,373.67646250301"
1/9/24,"9,431.27359445559",49.23184359134,"9,472.59830824801","9,298.88059196832"
1/8/24,"9,382.04175086425",259.77449969745,"9,384.84678511009","9,180.85281123155"
1/5/24,"9,122.26725116680",23.35626252184,"9,197.61578027240","9,090.35508914388"
1/4/24,"9,098.91098864496",-53.58321772248,"9,168.78378617259","9,066.85407160783"
