Date,CPI,IndexValue_NDXT,NetChange_NDXT,High_NDXT,Low_NDXT,Close/Last_GOOGL,Volume_GOOGL,Open_GOOGL,High_GOOGL,Low_GOOGL,Close/Last_AAPL,Volume_AAPL,Open_AAPL,High_AAPL,Low_AAPL
2024-08-22,315.106,10325.7708291163,-243.69891108772,10601.9269687277,10308.3366343344,163.8,22493280,227.79,167.59,163.31,228.34,43695320,227.79,228.34,223.9
2024-08-21,315.0853333333333,10569.469740204,116.20075204131,10579.4402421741,10472.0850577476,165.85,22902000,226.52,166.85,164.67,227.98,34765480,226.52,227.98,225.05
2024-08-20,315.06466666666665,10453.2689881627,-62.23998544968,10547.0839111249,10418.5277342748,167.18,18341530,225.77,168.64,166.82,227.17,30299030,225.77,227.17,225.45
2024-08-19,315.044,10515.5089736124,137.42375404033,10515.5089736124,10326.5119549271,166.67,22416190,225.72,166.69,164.26,225.99,40687810,225.72,225.99,223.04
2024-08-16,315.0233333333333,10378.0852195721,8.02467278737,10406.133867893,10293.5290725298,162.96,24208650,223.92,165.06,161.13,226.8271,44340240,223.92,226.8271,223.6501
2024-08-15,315.00266666666664,10370.0605467847,327.71131211612,10383.5900206687,10187.812952605,161.3,31524250,224.6,161.635,159.61,225.35,46414010,224.6,225.35,222.76
2024-08-14,314.98199999999997,10042.3492346686,12.63511845913,10102.7699157061,9931.77122906638,160.37,40591130,220.57,163.22,157.71,223.03,41960570,220.57,223.03,219.7
2024-08-13,314.9613333333333,10029.7141162095,276.57260172953,10039.6311422296,9838.35226657423,164.16,18551690,219.01,164.73,162.97,221.89,44155330,219.01,221.89,219.01
2024-08-12,314.94066666666663,9753.14151447994,-7.20677958727,9824.31345597441,9689.19288860178,162.29,15895290,216.07,164.9,161.84,219.5099,38028090,216.07,219.5099,215.6
2024-08-09,314.92,9760.34829406721,19.78308416711,9803.83734842279,9648.11115000908,163.67,28602290,212.1,163.79,159.06,216.78,42201650,212.1,216.78,211.97
2024-08-08,314.89933333333335,9740.5652099001,405.35470329908,9750.60920290025,9424.28412152437,162.03,25578840,213.11,163.69,160.21,214.2,47161150,213.11,214.2,208.83
2024-08-07,314.8786666666667,9335.21050660102,-60.76157761204,9718.74392266932,9328.32337430407,158.94,25138570,206.9,162.98,158.47,213.64,63516420,206.9,213.64,206.39
