# NetChange_NDXT, High_NDXT, Low_NDXT, Close/Last_GOOGL, Open_GOOGL, Low_GOOGL, Close/Last_AAPL, Open_AAPL, Low_AAPL
1.417317409768646428e+02,-6.064666334518606163e+02,-1.906177245546787162e+02,-2.572595761145578308e+00,-6.123441113865055740e+00,-3.647147958641397736e+00,-4.708706471486721057e-01,-6.123441113865055740e+00,-7.416302677633154872e+00
-9.538136558481228633e+01,1.425507463847330655e+03,1.376708865285909269e+02,-2.711830083669610758e+00,-4.939354436363885270e-01,3.536430330847338155e+00,-3.042724871414918653e+00,-4.939354436363885270e-01,2.501793716061399664e+00
-4.344154157837330104e+02,2.741008481383423714e+03,6.078994227105795289e+01,4.695093167994173200e-01,3.758539851761099726e+00,-4.940661076736603263e-01,2.632978031069882263e+00,3.758539851761099726e+00,-3.939327475985692217e-01
-1.117898281530247573e+02,2.234217909642338782e+03,4.858576321740038111e+02,5.585798503441765206e+00,-2.382743661648902389e+00,6.392130127633066650e+00,-8.104168872883121821e-01,-2.382743661648902389e+00,6.988540020171569722e-01
1.600506838381213015e+02,4.260086366607993114e+02,-1.146832430001995817e+02,1.425527604063432818e+00,-1.865210244553509256e+00,-2.652449751739254680e+00,-2.342483546019423102e+00,-1.865210244553509256e+00,-2.022152994485651334e+00
1.993833600607095136e+01,-1.876070268101511829e+03,-4.215778113613851019e+00,-6.796491939915483727e+00,6.547001553774123295e-01,-3.186011967172362347e+00,-1.830124724570879380e+00,6.547001553774123295e-01,-8.118298740918135081e-01
-4.623322059917103388e+01,-3.598679191692741369e+03,5.085520948315934220e+01,2.410397252172913340e+00,-1.152187146720450528e+00,2.614035509385161049e+00,-3.112415084680435484e-01,-1.152187146720450528e+00,1.192493181789018308e-01
2.071170193907341286e+02,-3.795135717739301981e+03,-3.410190461740421597e+01,3.413754917455634086e+00,6.916605000627384925e-01,-6.468581946867715260e+00,1.991698059578709490e+00,6.916605000627384925e-01,3.140676979160446081e-01
-2.030881053027297298e+02,-2.612865800734702134e+03,-9.867456583374951151e+01,-1.031513370248376305e+01,-1.230522397395503731e+00,-3.276916470041555840e+00,-2.929881326946116360e+00,-1.230522397395503731e+00,-1.229474567954554232e+00
-3.780638888217445981e+01,-2.587614512982054293e+02,2.870771531549362408e+02,-9.507126078914211575e+00,-4.705186301892496203e+00,-6.708680543276415165e+00,-5.110167644936609577e-01,-4.705186301892496203e+00,-3.520168203321247802e+00
1.348529393621473673e+02,1.841764966055567129e+03,-9.764705692990901298e+01,-1.347516269359573471e+00,1.635029180781174318e+00,-2.324573923674620346e+00,-2.505906252849229077e+00,1.635029180781174318e+00,5.066478786612549357e-01
-1.897994594938846546e+02,3.034042262300956281e+03,-4.169329843389277812e-01,-2.869674638711046555e+00,4.997879624453389624e-01,9.140074616169329147e-01,8.475191335961085315e-02,4.997879624453389624e-01,-1.038456880681337680e-01
2.350658810531225527e+02,2.789477095568505320e+03,1.024848581866244785e+02,1.413740981307284983e+00,-1.544359177406391836e+00,-2.714028712084171957e+00,-6.115462500971204918e-01,-1.544359177406391836e+00,-7.137772116602718597e-01
9.907777804370752506e+00,9.072348704135092703e+02,-1.723172075270576897e+02,-2.886481004283439233e+00,-3.349663795672142896e+00,-3.838771980899480241e-01,-1.173539139172760315e+00,-3.349663795672142896e+00,-1.354470804587464272e+00
2.049772316939988173e+02,-1.268141558922054173e+03,-6.371991793651432090e+01,-1.032008541451091332e+00,-1.904434719386159713e+00,-2.721451286730143693e+00,-1.790741347688566520e+00,-1.904434719386159713e+00,-1.352800237215006973e+00
1.098845219562479656e+02,-3.273295239146220410e+03,-7.483216911799536319e+01,-2.754933348340813382e+00,-2.042978955097709104e+00,-9.958192176768250192e-01,-2.910496065909455865e+00,-2.042978955097709104e+00,-3.349985633326213019e+00
-1.724436723500134292e+02,-3.792210856420881100e+03,-1.015366155897827412e+02,-1.251199500527775399e-01,-1.049708836249692467e+00,1.219128266203085786e+00,-1.861877004228716714e+00,-1.049708836249692467e+00,-7.390027986968732421e-01
-7.698068243836131330e+01,-2.597583463484843378e+03,2.708314858050325711e+02,2.489267725229638017e-01,-1.528469048750054071e+00,-8.685993611846640761e-01,1.128724570766053148e-01,-1.528469048750054071e+00,-7.452540626096322285e-01
1.702389229645420983e+02,-4.924350345396014745e+02,4.769570476464650710e+00,-2.531904631693180363e-01,-1.838274116265523617e+00,-1.267629915599798096e+00,-2.424469846734325529e+00,-1.838274116265523617e+00,-3.343790226163946500e+00
7.440468443229030981e+01,1.567647993720667728e+03,-1.760851567651170626e+02,-2.889282359593977390e+00,-2.528234638606278395e+00,-2.249377178830712865e+00,-2.366057693365064551e+00,-2.528234638606278395e+00,-4.322394664790749630e-01
2.284586337721864879e+02,2.925285477313454976e+03,-1.450625593345994275e+02,2.552308265380474950e+00,6.078080205197977648e-01,3.470074177195101583e-01,-2.844368168168216471e-01,6.078080205197977648e-01,-1.881126238469136069e+00
-4.240152430412510398e+01,2.658066939467185875e+03,-1.535212583755765081e+02,7.978783343250569260e+00,-1.408233335709581979e+00,9.523633968506345582e+00,-1.676747844270209953e-01,-1.408233335709581979e+00,4.038106251147155490e-01
1.213794088811356318e+02,1.195498164915830785e+03,4.662518962014837598e+01,2.790451527548327704e+00,-1.272961618492644220e+00,-6.089673314481274247e-01,1.048008140654417275e-01,-1.272961618492644220e+00,2.502587481583873341e-01
1.028391326003399229e+02,-1.067595539087187717e+03,-5.320976771327877941e+01,-3.142497409124842989e+00,-1.566883057977577209e+00,-1.146853517801702083e+00,-4.956628991381535343e-01,-1.566883057977577209e+00,-2.052842936995347145e+00
-3.156244669780630829e+02,-2.942580687893692811e+03,-4.191818712431268068e+01,-2.670324127536446213e+00,1.779118124224027042e+00,-1.040382457569677399e+00,-2.603936147482471597e+00,1.779118124224027042e+00,-7.737376213339359765e-01
-9.893204373398340579e+01,-3.422700293835612683e+03,3.731877725222366280e+02,3.684006137300201544e+00,-1.612163331690084078e+00,3.875662354465646331e+00,2.261886264877915664e+00,-1.612163331690084078e+00,1.041740913714590988e+00
-6.648305853645418040e+00,-2.587577700930838546e+03,-1.081851695142904646e+01,4.617268649800735147e+00,-1.345160048765251304e+00,4.127079248632895769e+00,-2.689743945252189405e+00,-1.345160048765251304e+00,-1.824281848727878241e+00
-3.813775257662489082e+01,-6.352898160371096310e+02,-1.906643784269181197e+01,2.292906129703254692e+00,1.749062912052750107e-01,8.918231189585981156e-01,-7.054693813706478522e-01,1.749062912052750107e-01,1.500573484103881583e+00
-3.609388206289629153e+01,1.681777085346229796e+03,7.346547898888275085e+01,-1.720675189639592872e+00,8.827226280154434335e-01,-1.418281910610602381e+00,2.790825750102783331e-01,8.827226280154434335e-01,-1.898702980056611977e+00
-6.059899751627688147e+01,3.366755178867579161e+03,6.370296263993077446e+01,-1.718258632361511218e+00,2.807999618724721813e+00,4.214319770423742284e-01,2.883749451227600957e+00,2.807999618724721813e+00,4.874501844822447083e+00
2.396780129732900377e+02,3.577247701925597539e+03,-6.615880173229015782e+00,1.795220131460098401e+00,-3.016853516838409632e+00,-1.226181509285368065e+00,-1.279966313771780051e+00,-3.016853516838409632e+00,-3.077210474772414273e+00
3.636600727196843650e+02,2.044314638018810001e+03,-2.427615314539380051e+02,-3.961001829331394219e+00,-2.349606133134528818e+00,-2.959734441323405463e+00,-1.511442017230251622e+00,-2.349606133134528818e+00,-3.418164476346561287e+00
1.331207103840495449e+02,-4.409661745803914528e+02,-2.276158811526802310e+02,-6.407323437492777884e+00,-9.370453974372310313e-01,-4.580192722070790978e+00,-1.777121829422355859e+00,-9.370453974372310313e-01,1.016615389668061198e+00
-4.331418306877495183e+00,-2.541940079294165116e+03,-8.301264131651987555e+01,1.222571687228253268e-01,-2.165791886480121775e-01,-4.519485561102953852e-01,-1.091046546554224506e+00,-2.165791886480121775e-01,-1.114917901587631377e+00
1.180396392301795743e+02,-3.515579881939038387e+03,-3.271483230366902717e+01,4.955465120338828910e-01,-2.923185817004991804e-02,6.281221569749106948e-01,2.462061662556692454e+00,-2.923185817004991804e-02,1.068992805524004552e+00
-2.950512838368061921e+02,-2.938179958161494142e+03,-5.156661786055883567e+01,-1.167503247056231430e+00,7.874750240783697564e+00,1.479064275525843186e+00,4.287533463808699707e+00,7.874750240783697564e+00,4.858169475900012912e+00
-2.935353673509783903e+02,-8.714908583111409826e+02,3.194826763611326896e+02,3.677395339281957831e+00,3.350064255429202831e+00,2.900644383424378248e+00,3.318625335427640266e+00,3.350064255429202831e+00,3.123325053934081552e+00
2.227047056040015889e+02,1.572026665901092201e+03,-1.750956642777055094e+01,-4.248644171222395016e+00,5.869365416149889825e-01,-7.928696763844556017e+00,4.621009922406074111e-01,5.869365416149889825e-01,2.243465069720173233e+00
7.070247576951240376e+01,3.143382779392621160e+03,2.223641306255922245e+01,-3.754361246670470109e+00,8.385852372600197668e-01,-1.823274432324382133e+00,4.604545603766325712e-01,8.385852372600197668e-01,-3.802110535302745120e-01
7.091536541302927787e+01,3.591924286550866782e+03,-2.687580753925431054e+00,-1.355785564977566082e+00,-3.503741017484827580e+00,-2.244736704283809559e-01,-1.334777565044447556e+00,-3.503741017484827580e+00,-2.455370368613387200e+00
1.036395013854969420e+02,2.315103628447596748e+03,-1.206999116356655577e+02,-1.762916133884090186e+00,1.862261032130163585e-01,-2.101209731788628687e+00,-2.261013834998550465e+00,1.862261032130163585e-01,-1.455030626396194293e-01
-1.797002440887534931e+02,2.702130247266341030e+02,-4.194059845523224794e+01,-4.413872854068188190e-01,3.493841579017811227e+00,6.764198155411236257e-01,4.379229924681197872e+00,3.493841579017811227e+00,-1.521325805640003637e-01
-2.437448210629797529e+01,-1.822403847654952187e+03,1.796384675896533736e+02,2.026806623671575380e+00,-2.446709749577564708e-01,7.687337009656118880e-01,5.965651744733975193e-01,-2.446709749577564708e-01,4.522736700858132508e+00
