,15_pred_ahead,30_pred_ahead,60_pred_ahead,180_pred_ahead,365_pred_ahead
127,2203.07557972186,2203.07557972186,2203.07557972186,2203.07557972186,2203.07557972186
128,2216.64249986662,2216.64249986662,2216.64249986662,2216.64249986662,2216.64249986662
129,2200.96899311871,2200.96899311871,2200.96899311871,2200.96899311871,2200.96899311871
130,2166.47006325859,2166.47006325859,2166.47006325859,2166.47006325859,2166.47006325859
131,2173.35744485064,2173.35744485064,2173.35744485064,2173.35744485064,2173.35744485064
132,2131.08804490311,2131.08804490311,2131.08804490311,2131.08804490311,2131.08804490311
133,2122.12659652954,2122.12659652954,2122.12659652954,2122.12659652954,2122.12659652954
134,2119.80148274718,2119.80148274718,2119.80148274718,2119.80148274718,2119.80148274718
135,2118.40418665046,2118.40418665046,2118.40418665046,2118.40418665046,2118.40418665046
136,2067.88811755295,2067.88811755295,2067.88811755295,2067.88811755295,2067.88811755295
137,2070.69949644558,2070.69949644558,2070.69949644558,2070.69949644558,2070.69949644558
138,2134.81022052692,2134.81022052692,2134.81022052692,2134.81022052692,2134.81022052692
139,2121.32289450083,2121.32289450083,2121.32289450083,2121.32289450083,2121.32289450083
140,2162.56339081904,2162.56339081904,2162.56339081904,2162.56339081904,2162.56339081904
141,2206.20594227031,2206.20594227031,2206.20594227031,2206.20594227031,2206.20594227031
142,2212.49472681357,2212.49472681357,2212.49472681357,2212.49472681357,2212.49472681357
143,2229.87088388483,2229.87088388483,2229.87088388483,2229.87088388483,2229.87088388483
144,2246.047015813,2246.047015813,2246.047015813,2246.047015813,2246.047015813
145,2253.32245052448,2253.32245052448,2253.32245052448,2253.32245052448,2253.32245052448
146,2256.48635026031,2256.48635026031,2256.48635026031,2256.48635026031,2256.48635026031
147,2236.20952190178,2236.20952190178,2236.20952190178,2236.20952190178,2236.20952190178
148,2266.61086419351,2266.61086419351,2266.61086419351,2266.61086419351,2266.61086419351
149,2277.3596696023,2277.3596696023,2277.3596696023,2277.3596696023,2277.3596696023
150,2283.21233786856,2283.21233786856,2283.21233786856,2283.21233786856,2283.21233786856
151,2287.66427860163,2287.66427860163,2287.66427860163,2287.66427860163,2287.66427860163
152,2278.91575382567,2278.91575382567,2278.91575382567,2278.91575382567,2278.91575382567
153,2269.32946403491,2269.32946403491,2269.32946403491,2269.32946403491,2269.32946403491
154,2335.42294655323,2335.42294655323,2335.42294655323,2335.42294655323,2335.42294655323
